Fecha,Hora,Magnitud,Latitud,Longitud,Profundidad,Referencia de localizacion,Fecha UTC,Hora UTC,Estatus
21/10/2012,04:34:19,"3.5",19.1153,-99.2518,"5","12 km al SUROESTE de S MIGUEL AJUSCO, CDMX",21/10/2012,09:34:19,revisado
18/01/2013,22:47:44,"2.9",19.3525,-99.1687,"10.4","1 km al NOROESTE de COYOACAN, CDMX",19/01/2013,04:47:44,revisado
10/05/2013,15:45:28,"1.8",19.2933,-99.2935,"1.6","5 km al SURESTE de SAN LORENZO ACOPILCO, CDMX",10/05/2013,20:45:28,revisado
15/06/2013,19:21:12,"2.7",19.3855,-99.1425,"8.5","2 km al SURESTE de BENITO JUAREZ, CDMX",16/06/2013,00:21:12,revisado
15/06/2013,20:14:25,"2.9",19.39,-99.1392,"3","2 km al SURESTE de BENITO JUAREZ, CDMX",16/06/2013,01:14:25,revisado
16/06/2013,12:10:18,"2.9",19.3918,-99.0988,"1","menos de 1 km al SUROESTE de IZTACALCO, CDMX",16/06/2013,17:10:18,revisado
16/06/2013,13:00:59,"2.4",19.2992,-99.173,"4","4 km al NOROESTE de XOCHIMILCO, CDMX",16/06/2013,18:00:59,revisado
16/06/2013,13:15:22,"2.7",19.3467,-99.1317,"1","3 km al ESTE de COYOACAN, CDMX",16/06/2013,18:15:22,revisado
17/06/2013,12:19:28,"2.3",19.356,-99.1258,"1","3 km al OESTE de IZTAPALAPA, CDMX",17/06/2013,17:19:28,revisado
17/06/2013,12:20:08,"2.9",19.3695,-99.0872,"1","1 km al NORESTE de IZTAPALAPA, CDMX",17/06/2013,17:20:08,revisado
17/06/2013,13:41:53,"2.1",19.3708,-99.12,"1.7","3 km al NOROESTE de IZTAPALAPA, CDMX",17/06/2013,18:41:53,revisado
18/06/2013,18:53:07,"2.7",19.3638,-99.1188,"5","3 km al OESTE de IZTAPALAPA, CDMX",18/06/2013,23:53:07,revisado
25/08/2013,05:23:30,"2.2",19.3197,-99.097,"4","4 km al SUR de IZTAPALAPA, CDMX",25/08/2013,10:23:30,revisado
25/08/2013,10:47:04,"2.3",19.3115,-99.1022,"1.1","5 km al OESTE de TLAHUAC, CDMX",25/08/2013,15:47:04,revisado
